X,Y,Z
5.405,34.756,209.037
5.405,34.856,209.037
5.405,34.956,209.037
5.405,35.057,209.037
5.405,35.157,209.037
5.405,35.257,209.037
5.405,35.357,209.037
5.405,35.457,209.037
5.405,35.557,209.037
5.405,35.658,209.037
5.405,35.758,209.037
5.405,35.858,209.037
5.405,35.958,209.037
5.405,36.058,209.037
5.405,36.158,209.037
5.405,36.259,209.037
5.405,36.359,209.037
5.405,36.459,209.037
5.405,36.559,209.037
5.405,36.659,209.037
5.405,36.759,209.037
5.405,36.96,209.037
5.405,37.06,209.037
5.405,37.26,209.037
5.51,37.511,209.317
5.51,37.611,209.317
5.51,37.711,209.317
5.51,37.912,209.317
5.51,38.012,209.317
5.615,38.063,209.597
5.615,38.465,209.597
5.615,38.565,209.597
5.615,38.666,209.597
5.615,38.766,209.597
5.615,38.866,209.597
5.615,38.967,209.597
5.615,39.067,209.597
5.615,39.168,209.597
5.615,39.268,209.597
5.51,39.316,209.317
5.51,39.516,209.317
5.665,1.469,204.397
5.765,1.471,204.664
5.765,1.569,204.664
5.765,1.667,204.664
5.765,1.765,204.664
5.765,1.863,204.664
5.765,1.961,204.664
5.765,2.059,204.664
5.765,2.157,204.664
5.765,2.256,204.664
5.765,2.354,204.664
5.866,2.455,204.932
5.866,2.651,204.932
5.866,2.848,204.932
5.866,2.946,204.932
5.866,3.044,204.932
5.866,3.142,204.932
5.866,3.339,204.932
5.966,3.638,205.201
5.966,3.835,205.201
5.966,3.933,205.201
5.966,4.031,205.201
5.966,4.13,205.201
5.966,4.228,205.201
5.966,4.326,205.201
5.966,4.425,205.201
5.966,4.523,205.201
5.966,4.621,205.201
5.966,4.72,205.201
5.966,4.818,205.201
5.966,4.916,205.201
5.966,5.014,205.201
5.966,5.113,205.201
5.966,5.211,205.201
5.966,5.309,205.201
5.966,5.408,205.201
5.966,5.506,205.201
5.966,5.604,205.201
5.966,5.703,205.201
5.966,5.801,205.201
5.966,5.899,205.201
5.966,5.998,205.201
5.966,6.096,205.201
5.966,6.194,205.201
5.966,6.293,205.201
5.966,6.391,205.201
5.966,6.489,205.201
5.966,6.588,205.201
5.966,6.686,205.201
5.966,6.784,205.201
5.966,6.883,205.201
5.966,6.981,205.201
5.966,7.079,205.201
6.068,7.089,205.47
6.068,7.285,205.47
6.068,7.482,205.47
6.068,7.679,205.47
5.966,7.768,205.201
5.966,7.866,205.201
5.966,7.964,205.201
6.068,8.172,205.47
6.068,8.368,205.47
6.068,8.467,205.47
6.068,8.664,205.47
6.068,9.058,205.47
6.169,9.07,205.74
6.169,9.267,205.74
6.169,9.365,205.74
6.169,9.464,205.74
6.169,9.562,205.74
6.169,9.661,205.74
6.169,9.76,205.74
6.169,9.858,205.74
6.169,9.957,205.74
6.169,10.055,205.74
6.169,10.154,205.74
6.169,10.253,205.74
6.169,10.351,205.74
6.169,10.45,205.74
6.169,10.548,205.74
6.169,10.647,205.74
6.169,10.745,205.74
6.169,10.844,205.74
6.169,10.943,205.74
6.169,11.041,205.74
6.169,11.238,205.74
6.27,11.648,206.011
6.27,11.845,206.011
6.27,11.944,206.011
6.27,12.043,206.011
6.27,12.142,206.011
6.27,12.24,206.011
6.27,12.339,206.011
6.27,12.438,206.011
6.27,12.536,206.011
6.27,12.734,206.011
6.27,12.833,206.011
6.27,12.931,206.011
6.372,12.948,206.283
6.372,13.146,206.283
6.372,13.245,206.283
6.372,13.344,206.283
6.372,13.442,206.283
6.372,13.541,206.283
6.372,13.64,206.283
6.372,13.739,206.283
6.372,13.838,206.283
6.372,13.937,206.283
6.372,14.036,206.283
6.372,14.134,206.283
6.372,14.233,206.283
6.372,14.431,206.283
6.372,14.629,206.283
6.474,14.747,206.555
6.474,14.846,206.555
6.474,15.044,206.555
6.474,15.143,206.555
6.474,15.242,206.555
6.474,15.341,206.555
6.474,15.44,206.555
6.474,15.539,206.555
6.474,15.638,206.555
6.474,15.737,206.555
6.474,15.836,206.555
6.577,16.154,206.828
6.577,16.253,206.828
6.474,16.33,206.555
6.474,16.429,206.555
6.474,16.627,206.555
6.474,16.726,206.555
6.474,16.825,206.555
6.474,16.924,206.555
6.474,17.023,206.555
6.474,17.122,206.555
6.474,17.221,206.555
6.474,17.32,206.555
6.474,17.419,206.555
6.474,17.518,206.555
6.474,17.716,206.555
6.577,17.739,206.828
6.577,18.136,206.828
6.577,18.235,206.828
6.577,18.334,206.828
6.577,18.433,206.828
6.577,18.532,206.828
6.577,18.631,206.828
6.577,18.73,206.828
6.577,18.83,206.828
6.577,18.929,206.828
6.577,19.028,206.828
6.679,19.152,207.101
6.679,19.351,207.101
6.679,19.549,207.101
6.679,19.648,207.101
6.679,19.748,207.101
6.679,19.847,207.101
6.679,19.946,207.101
6.679,20.045,207.101
6.679,20.145,207.101
6.679,20.244,207.101
6.679,20.343,207.101
6.679,20.442,207.101
6.679,20.541,207.101
6.679,20.641,207.101
